"","date","subject","contact","lines","url","funding","event","position"
"1","2018-03-15","Call for Proposals 2018 Natural Areas Conference","Kate Luce Angell",45,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=528",FALSE,FALSE,FALSE
"2","2018-03-16","Carnivore conservation volunteer opportunities","Tammy Cloutier",40,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=1831",FALSE,FALSE,FALSE
"3","2018-03-15","Conference - Sexual selection: patterns in the history of life UK, May 9-10 2018","R Knell",93,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=264",FALSE,FALSE,FALSE
"4","2018-03-15","Deadline 20 March: NEON Remote Sensing Data Institute","Megan Jones",310,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=946",FALSE,FALSE,FALSE
"5","2018-03-16","Field assistants wanted for Gelada Monkey Research in the Ethiopian Highlands","David Inouye",1292,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=2248",FALSE,FALSE,TRUE
"6","2018-03-16","Graduate Assistantship in Forest Nutrient Cycling","Forest Ecology",73,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=1457",FALSE,FALSE,FALSE
"7","2018-03-16","Job Annoucement: Research Technician/Biological Science Aide","Mujen Wang",84,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=1974",FALSE,FALSE,FALSE
"8","2018-03-15","Job: Applications Due March 16! Assistant professor - rangeland vegetation ecology","Melanie Murphy",133,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=1082",FALSE,FALSE,FALSE
"9","2018-03-15","Job: Assistant Professor of Rangeland Herbivore Ecology and Management, University of Wyoming","Melanie Murphy",181,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=1264",FALSE,FALSE,FALSE
"10","2018-03-16","Job; Assistant National Wildlife Program Manager","David Inouye",79,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=2127",FALSE,FALSE,FALSE
"11","2018-03-15","M.S. Assistantship at WVU in forest soils","Charlene Kelly",153,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=411",FALSE,FALSE,FALSE
"12","2018-03-16","Part-time teaching jobs in NYC","David Inouye",101,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=1727",FALSE,FALSE,TRUE
"13","2018-03-15","Podcast episode dedicated to Daniel Quinn (1935-2018)","Eric Garza",146,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=677",FALSE,FALSE,FALSE
"14","2018-03-15","Senior Scientist, Agriculture and Food Systems, The Nature Conservancy","Stephen Wood",531,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=801",FALSE,FALSE,FALSE
"15","2018-03-16","Update: Avian Field Technician","Natalie Harris",62,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=1603",FALSE,FALSE,FALSE
"16","2018-03-15","[COTE] Summer School 2018 of the COTE Cluster of Excellence ""interactions between ecosystems and rural-urban fringes""","mission COTE",517,"/cgi-bin/wa?A2=ind1803c&L=ecolog-l&P=63",FALSE,FALSE,FALSE
"17","2018-03-14","$2,000 grants for environmental research. Deadline: this Thursday","Angela Braren",99,"/cgi-bin/wa?A2=ind1803b&L=ecolog-l&P=14131",TRUE,FALSE,FALSE
"18","2018-03-10","'Research of Jamaica Bay' Webinar March 15: Jamaica Bay Estuarine Composition: From Nutrients to Fish","David Inouye",105,"/cgi-bin/wa?A2=ind1803b&L=ecolog-l&P=5684",FALSE,FALSE,FALSE
"19","2018-03-12","11th Arthropod Genomics Symposium, Urbana, Illinois, June 7-9","Ryerson, Daniel E",141,"/cgi-bin/wa?A2=ind1803b&L=ecolog-l&P=7990",FALSE,FALSE,FALSE
"20","2018-03-09","2-4 May: PC-ORD Multivariate Workshop/Webinar in Honolulu, HI","Jeri Peck",165,"/cgi-bin/wa?A2=ind1803b&L=ecolog-l&P=3705",FALSE,FALSE,FALSE
"21","2018-03-13","22nd Summer Course in 2k Climate Time Series Analysis, Bad Gandersheim, Germany, 2-6 July 2018","Mudelsee M",93,"/cgi-bin/wa?A2=ind1803b&L=ecolog-l&P=10228",FALSE,FALSE,FALSE
"22","2018-03-14","3 days left to submit your abstract submission for IMCC or OceansOnline!","SCB Marine Section",119,"/cgi-bin/wa?A2=ind1803b&L=ecolog-l&P=11571",FALSE,FALSE,FALSE
"23","2018-03-13","AASHE Upcoming Webinars","Daita Serghi",250,"/cgi-bin/wa?A2=ind1803b&L=ecolog-l&P=11901",FALSE,FALSE,FALSE
"24","2018-03-13","Accepting Apps for MS Environmental Biology in Denver CO","Ariel Wooldridge",39,"/cgi-bin/wa?A2=ind1803b&L=ecolog-l&P=10876",FALSE,FALSE,FALSE
